marca,modelo,año,kilometros,precio,descuento,color,combustible,transmision,estado
Subaru,Legacy,2007,22848,13677.19,13,rojo,electrico,manual,malo
Audi,Quattro,2019,169059,44579.09,6,rojo,gasolina,manual,impecable
Chevrolet,Camaro,1999,97862,24106.56,12,negro,glp,manual,aceptable
Dodge,Dakota,2021,79102,20688.1,14,morado,gasolina,manual,impecable
Ford,Explorer Sport,2013,48002,14415.64,19,morado,electrico,manual,sobresaliente
Pontiac,G6,1999,40926,10854.19,6,blanco,hibrido,automatico,excelente
Hyundai,Elantra,2004,126004,10822.76,9,blanco,glp,automatico,deteriorado
Chevrolet,Tahoe,2004,454,36658.29,6,amarillo,hibrido,automatico,impecable
Cadillac,Eldorado,2008,177091,34473.77,,rojo,diesel,manual,impecable
Audi,S5,2003,99360,32192.25,16,amarillo,hibrido,automatico,aceptable
Mazda,Millenia,2022,97878,21992.98,5,negro,glp,automatico,regular
Isuzu,i-350,1996,186245,29231.77,15,azul,electrico,manual,regular
GMC,Envoy,2019,26955,41455.33,6,azul,electrico,automatico,excelente
Buick,Regal,2001,181485,3481.39,10,azul,electrico,manual,deteriorado
Chevrolet,G-Series 3500,2016,118541,43909.84,16,azul,gasolina,manual,bueno
Mitsubishi,Montero,2022,178322,47559.29,,negro,diesel,manual,bueno
Dodge,Shadow,1995,89674,16142.68,,blanco,glp,manual,sobresaliente
Audi,S4,2007,36457,27449.0,,naranja,diesel,manual,malo
Lamborghini,Countach,1997,87919,19425.85,,rosa,glp,automatico,impecable
Mercury,Grand Marquis,2006,73016,13900.65,11,amarillo,diesel,manual,impecable
Audi,Q7,1995,31353,17006.32,9,rosa,hibrido,automatico,malo
Honda,Civic GX,2016,26424,36853.45,10,blanco,gasolina,automatico,regular
Dodge,Ram 3500,2013,80144,6020.48,,verde,gasolina,automatico,excelente
Isuzu,Space,2011,158585,30544.07,13,naranja,diesel,automatico,regular
Dodge,Intrepid,1999,66172,45351.39,13,plateado,gasolina,automatico,aceptable
GMC,Rally Wagon 1500,2021,67964,46911.89,16,plateado,gasolina,automatico,excelente
Lexus,LFA,2009,147174,4999.16,11,morado,glp,manual,regular
Chrysler,Cirrus,2009,80108,43891.18,9,rojo,gasolina,automatico,bueno
Ford,Mustang,2007,111925,33946.69,,plateado,glp,manual,impecable
Toyota,Avalon,2009,182979,5654.98,10,naranja,glp,manual,aceptable
Pontiac,Montana,2000,88323,26714.21,,azul,gasolina,manual,bueno
Ford,Expedition,1997,158807,4104.52,19,blanco,electrico,manual,excelente
Ford,Freestar,2004,180820,31501.53,14,verde,diesel,manual,sobresaliente
Honda,Accord Crosstour,2009,106746,3834.32,11,plateado,electrico,manual,bueno
Mazda,626,1999,28529,10701.97,18,amarillo,hibrido,automatico,excelente
Buick,Reatta,2017,100083,30519.05,,blanco,gasolina,manual,regular
Pontiac,Grand Prix,2011,10199,31294.28,6,morado,diesel,automatico,bueno
Ford,Crown Victoria,2001,35794,46651.01,18,plateado,diesel,manual,bueno
Audi,A4,2021,70498,42095.01,8,negro,glp,automatico,aceptable
Pontiac,Firefly,1996,16811,4123.17,,rosa,electrico,automatico,malo
Mitsubishi,Diamante,2019,108970,48695.28,6,plateado,gasolina,automatico,aceptable
Mercury,Monterey,2022,176425,34141.31,6,amarillo,electrico,automatico,excelente
Chevrolet,Silverado 1500,2022,80915,32578.57,13,negro,gasolina,automatico,excelente
Mitsubishi,Lancer Evolution,2002,112620,22758.51,,rosa,glp,manual,impecable
Buick,LaCrosse,1999,116092,46921.75,13,blanco,electrico,manual,aceptable
Volvo,S90,2005,121669,7671.36,9,morado,hibrido,manual,excelente
Dodge,Stratus,2004,168199,29289.55,10,rosa,electrico,automatico,regular
Pontiac,Solstice,2022,6611,42151.49,17,azul,hibrido,automatico,impecable
Isuzu,Ascender,2013,63548,36432.68,15,rosa,diesel,manual,regular
Volkswagen,New Beetle,2013,118334,20643.6,16,morado,hibrido,manual,bueno
Land Rover,LR3,1995,43444,21863.32,11,negro,glp,manual,aceptable
Suzuki,Grand Vitara,1998,24296,18830.89,,rojo,gasolina,automatico,regular
Chevrolet,Astro,2008,9920,13811.52,16,morado,gasolina,manual,regular
Lincoln,Town Car,2022,198460,44923.41,14,negro,gasolina,automatico,sobresaliente
Lotus,Esprit,2009,141579,49603.92,19,rosa,glp,manual,aceptable
Volvo,C70,2004,188016,15626.69,11,negro,hibrido,automatico,bueno
Kia,Optima,1998,94465,32757.18,5,amarillo,gasolina,automatico,excelente
Ford,Explorer,1999,108507,4273.2,18,negro,hibrido,manual,sobresaliente
Ford,Taurus,2003,29176,23423.7,20,negro,diesel,manual,regular
Toyota,Prius,2019,118386,15676.12,,verde,hibrido,manual,impecable
Suzuki,Forenza,1999,19951,20574.32,9,blanco,diesel,manual,aceptable
Nissan,Armada,1995,83574,32120.0,,rojo,diesel,automatico,impecable
Mazda,Protege,2014,19025,29311.34,14,amarillo,hibrido,manual,excelente
Ferrari,458 Italia,2009,72601,26858.38,,azul,gasolina,manual,deteriorado
Mitsubishi,GTO,2022,94901,20052.92,7,morado,electrico,automatico,impecable
Toyota,Celica,2002,35980,33602.87,16,plateado,electrico,manual,sobresaliente
Pontiac,LeMans,2017,145086,41936.87,18,azul,hibrido,manual,bueno
Acura,Integra,1998,52797,23658.69,15,plateado,hibrido,automatico,sobresaliente
Land Rover,Defender,2006,116868,23154.97,11,rosa,hibrido,manual,malo
GMC,Sierra,2021,153155,10636.94,14,rojo,diesel,automatico,excelente
Honda,Odyssey,2000,145402,34339.81,,naranja,diesel,automatico,regular
Land Rover,Range Rover,2020,65768,37285.09,9,rojo,glp,automatico,aceptable
Lamborghini,Gallardo,1997,8544,46655.43,16,amarillo,diesel,manual,bueno
Honda,CR-V,2015,154475,31713.57,,negro,glp,automatico,excelente
Subaru,Loyale,2009,25275,14229.93,,negro,electrico,automatico,impecable
Land Rover,Range Rover,1995,123469,10396.89,15,negro,glp,manual,excelente
Nissan,Titan,2006,13238,3499.92,15,naranja,diesel,automatico,excelente
Mercury,Capri,1995,113614,37986.95,14,azul,hibrido,manual,malo
Ford,Taurus,2012,134711,36507.46,18,rosa,electrico,automatico,sobresaliente
Toyota,Sequoia,2008,103325,42075.52,8,naranja,hibrido,automatico,deteriorado
Buick,Electra,2008,13083,45959.98,11,blanco,electrico,manual,impecable
Suzuki,Grand Vitara,2015,33309,32440.25,20,azul,gasolina,automatico,excelente
BMW,3 Series,2018,183537,10333.72,,plateado,diesel,manual,regular
GMC,2500,2011,105910,48140.11,20,azul,glp,automatico,regular
GMC,Sierra 3500HD,2015,154239,1893.11,,plateado,glp,automatico,aceptable
Toyota,Sienna,1998,144286,5888.22,,rojo,electrico,manual,impecable
Pontiac,Trans Sport,2003,130255,1681.04,12,blanco,diesel,automatico,excelente
Chevrolet,Cobalt SS,2012,109733,29231.26,13,verde,glp,manual,aceptable
Mitsubishi,Diamante,2006,109959,33397.76,19,verde,hibrido,automatico,sobresaliente
Toyota,Highlander,1999,88240,8381.08,,verde,diesel,automatico,impecable
Toyota,Xtra,1997,4469,33308.2,5,negro,diesel,manual,bueno
Mazda,RX-7,2002,4689,40512.25,12,plateado,hibrido,manual,aceptable
GMC,Savana 3500,2001,78745,12888.86,7,morado,electrico,manual,malo
Audi,A5,1997,17641,22034.54,8,azul,gasolina,automatico,aceptable
Geo,Tracker,1997,83578,7264.55,12,morado,electrico,automatico,excelente
Mitsubishi,Cordia,2013,18977,29422.27,16,plateado,electrico,automatico,deteriorado
Dodge,Dakota,1996,181458,17966.54,8,rosa,diesel,manual,bueno
Kia,Rio,2006,126301,7786.42,8,amarillo,electrico,automatico,malo
Dodge,Dakota Club,2001,160678,3081.6,13,morado,diesel,automatico,impecable
Suzuki,SJ,2006,152924,48364.48,,amarillo,hibrido,manual,impecable
Honda,S2000,2021,134313,30800.32,5,morado,diesel,automatico,sobresaliente
Ford,Edge,2020,16714,32160.23,11,plateado,electrico,automatico,sobresaliente
Chevrolet,S10,2011,33590,8663.61,19,plateado,electrico,automatico,malo
Dodge,Grand Caravan,1995,161937,13092.31,20,naranja,diesel,manual,malo
BMW,6 Series,1997,164712,6453.69,,blanco,hibrido,automatico,malo
Chevrolet,Corvette,2017,13463,18045.77,,rojo,diesel,manual,bueno
Toyota,Sequoia,2001,101894,6678.37,18,verde,hibrido,manual,impecable
Porsche,Boxster,2005,87600,14661.23,8,verde,glp,automatico,malo
Acura,TL,1999,92279,33271.86,,rosa,diesel,manual,excelente
Mercedes-Benz,GL-Class,2003,23589,23314.3,7,azul,hibrido,manual,impecable
Mazda,626,2006,101410,33844.8,17,verde,diesel,automatico,regular
Honda,Prelude,2004,88253,24697.75,17,verde,hibrido,automatico,deteriorado
Mercury,Sable,1996,58146,22320.21,15,negro,diesel,automatico,regular
Ford,Expedition,2022,162642,9178.72,9,plateado,diesel,manual,excelente
Lexus,ES,2004,166382,33637.97,5,azul,hibrido,automatico,malo
Pontiac,Sunfire,2015,103022,48977.36,17,amarillo,gasolina,automatico,aceptable
Volvo,XC90,2003,152785,45807.65,15,rojo,gasolina,manual,impecable
Hyundai,Sonata,2013,12523,20847.82,,naranja,gasolina,automatico,bueno
Volvo,V40,2012,121428,24577.65,5,amarillo,gasolina,automatico,aceptable
Mazda,Mazda2,2010,122377,13976.44,13,blanco,electrico,automatico,sobresaliente
Mercury,Mariner,2005,146225,30453.49,14,rojo,diesel,automatico,aceptable
Nissan,Maxima,2017,40005,11466.35,17,plateado,gasolina,manual,malo
Ford,Mustang,2014,184946,21840.08,,plateado,diesel,automatico,sobresaliente
Pontiac,Sunbird,2021,175001,8656.03,17,rosa,glp,manual,aceptable
Buick,Riviera,1995,54989,47904.43,15,blanco,hibrido,manual,excelente
Acura,TL,2013,129352,22022.19,,amarillo,glp,manual,aceptable
Mazda,MX-5,2020,74693,36308.78,,naranja,hibrido,manual,bueno
Ford,Econoline E250,2022,188685,14500.5,11,naranja,electrico,manual,sobresaliente
Saab,9-5,2011,1077,25807.43,7,plateado,glp,manual,aceptable
Mazda,Mazda6 Sport,2011,139616,32554.68,17,rosa,gasolina,manual,malo
Chevrolet,Express 3500,2014,86691,8337.94,6,plateado,glp,manual,bueno
Ford,F150,2006,50449,16603.2,16,amarillo,hibrido,automatico,aceptable
Hyundai,Accent,1999,39539,49090.32,14,verde,electrico,manual,excelente
Volvo,S40,1999,142023,27529.62,12,morado,glp,manual,excelente
Ford,F-Series,2005,60766,15546.11,13,amarillo,glp,automatico,sobresaliente
Mitsubishi,Mighty Max,2013,119592,42296.09,,rosa,diesel,manual,bueno
Mitsubishi,Mighty Max,2015,130805,16490.61,,rosa,hibrido,manual,excelente
Buick,Skylark,2011,183844,5313.68,18,azul,gasolina,automatico,malo
Chevrolet,Silverado 3500,2019,53570,22863.59,15,morado,diesel,automatico,deteriorado
Hyundai,Sonata,2006,43748,10631.82,19,rosa,diesel,manual,deteriorado
Volkswagen,Cabriolet,2019,133717,12648.3,,negro,electrico,automatico,malo
Isuzu,Trooper,2016,89243,38979.95,20,rojo,electrico,automatico,sobresaliente
Dodge,Avenger,1998,111008,14694.2,16,plateado,gasolina,manual,sobresaliente
Ford,F150,2008,45948,32800.89,,rojo,glp,automatico,sobresaliente
Hummer,H2,2007,80459,28473.24,8,amarillo,diesel,manual,regular
Pontiac,Parisienne,2009,7397,37437.09,7,negro,diesel,manual,aceptable
Chevrolet,S10,2016,14464,8485.78,,rosa,electrico,automatico,excelente
Subaru,XT,2004,192000,2814.95,11,negro,gasolina,automatico,sobresaliente
Mazda,929,2004,118821,31680.53,12,azul,diesel,manual,malo
Land Rover,Range Rover,2022,66109,4864.49,15,negro,electrico,automatico,aceptable
Honda,Odyssey,2011,71860,36868.61,19,plateado,gasolina,manual,deteriorado
Hummer,H2,2000,16659,17281.18,8,azul,glp,automatico,bueno
Saab,9-5,1996,3511,21054.52,18,plateado,hibrido,automatico,impecable
Cadillac,Allante,2009,10818,1817.06,15,verde,glp,automatico,deteriorado
BMW,Z3,2000,14533,48106.48,,azul,electrico,automatico,deteriorado
Acura,TSX,2004,53016,14250.03,19,naranja,hibrido,automatico,bueno
Chevrolet,Express,2000,42812,24509.09,,negro,gasolina,automatico,regular
Acura,TL,2020,178711,44819.8,,naranja,gasolina,automatico,excelente
Mercury,Montego,2021,93713,21338.62,19,amarillo,glp,automatico,aceptable
BMW,6 Series,2008,71120,36657.15,7,plateado,hibrido,manual,deteriorado
Chevrolet,Lumina APV,2005,149116,48007.94,,negro,hibrido,automatico,excelente
Geo,Metro,2003,156641,37134.08,9,morado,electrico,automatico,excelente
Volkswagen,New Beetle,2002,194050,16919.26,14,blanco,electrico,manual,sobresaliente
Toyota,Land Cruiser,2013,170588,12176.19,,naranja,glp,manual,deteriorado
Nissan,Datsun/Nissan Z-car,1998,39516,15265.86,12,plateado,diesel,automatico,deteriorado
Toyota,Echo,2003,123571,14470.78,19,azul,diesel,manual,bueno
Volkswagen,Eurovan,2013,151194,36096.28,11,plateado,hibrido,automatico,sobresaliente
Jaguar,XK Series,2003,192958,40817.92,,plateado,diesel,manual,bueno
Bentley,Continental,2013,138411,46723.88,,verde,diesel,automatico,bueno
Acura,TSX,1999,85986,22291.67,14,morado,diesel,automatico,deteriorado
Mitsubishi,Galant,2001,173303,3566.01,10,amarillo,diesel,automatico,deteriorado
Dodge,Durango,2005,199669,17003.89,11,blanco,gasolina,automatico,excelente
Chrysler,200,2017,197706,17355.72,17,naranja,gasolina,automatico,excelente
Chevrolet,Monza,2022,111313,25456.07,14,amarillo,gasolina,automatico,excelente
Ford,Aerostar,2008,180880,34784.35,7,azul,diesel,manual,sobresaliente
Chevrolet,Cobalt,2002,141054,2624.1,,azul,hibrido,manual,impecable
Mitsubishi,Starion,2015,119334,28113.49,10,verde,electrico,manual,malo
Chevrolet,Astro,1999,194361,18833.51,,rojo,electrico,manual,malo
Geo,Tracker,2014,155719,33755.49,7,amarillo,diesel,manual,bueno
Mitsubishi,Cordia,2020,185769,35897.84,15,rojo,glp,automatico,aceptable
Suzuki,Swift,1997,132216,31864.24,6,verde,hibrido,manual,aceptable
Dodge,Ram 3500,1995,61448,13661.88,18,naranja,gasolina,automatico,regular
Ford,E350,1996,99766,20604.21,,azul,electrico,manual,impecable
Mazda,Tribute,1996,16865,37124.25,13,verde,gasolina,manual,regular
Hyundai,Accent,2015,34076,18124.2,12,naranja,hibrido,automatico,sobresaliente
Plymouth,Voyager,1995,146584,43383.89,,plateado,hibrido,automatico,malo
Chevrolet,G-Series G10,2008,39261,32123.15,16,blanco,diesel,automatico,regular
Buick,Regal,2021,22420,3756.05,5,negro,diesel,automatico,deteriorado
Volvo,XC60,1996,84133,42619.08,12,plateado,electrico,manual,impecable
Subaru,Legacy,2012,111877,45654.87,7,morado,diesel,manual,excelente
Chevrolet,Silverado 3500,2010,174300,12101.21,16,plateado,gasolina,automatico,sobresaliente
Subaru,Justy,2013,179991,11749.28,7,rojo,hibrido,automatico,bueno
Ford,E250,2007,191756,49070.14,,blanco,diesel,manual,excelente
Lamborghini,Diablo,2010,98421,16307.94,18,blanco,glp,manual,impecable
Mercedes-Benz,CLS-Class,1996,67695,21429.9,10,blanco,diesel,manual,bueno
Mercedes-Benz,CLK-Class,2021,124916,21955.27,,verde,electrico,automatico,sobresaliente
GMC,Savana 1500,2015,105018,11327.25,11,amarillo,hibrido,manual,malo
Lincoln,Town Car,2010,72951,48691.56,,plateado,diesel,automatico,malo
Maserati,GranSport,2017,182599,35914.44,6,naranja,electrico,manual,sobresaliente
Ford,F150,1995,177404,18416.68,11,blanco,glp,manual,bueno
Dodge,Dakota Club,2006,177526,26000.02,5,morado,gasolina,automatico,malo
Porsche,Carrera GT,2011,49905,24364.15,10,plateado,glp,automatico,deteriorado
Pontiac,LeMans,2002,7388,17241.23,,azul,glp,manual,malo
Hyundai,Sonata,1998,167272,34446.37,6,negro,hibrido,automatico,malo
Isuzu,Rodeo,2003,39381,13103.79,,morado,hibrido,manual,regular
Cadillac,CTS,2022,122135,46321.29,,verde,hibrido,automatico,sobresaliente
Jeep,Patriot,2008,177214,11959.12,17,plateado,electrico,automatico,malo
Chevrolet,Sportvan G10,2008,59797,23741.73,11,rojo,diesel,automatico,regular
Chrysler,Concorde,2016,20732,29389.05,,morado,electrico,automatico,deteriorado
GMC,Safari,2007,56466,25726.69,,azul,gasolina,automatico,impecable
Maybach,62,2001,101558,48301.72,15,amarillo,electrico,automatico,impecable
Buick,LeSabre,2009,109986,1494.21,,morado,hibrido,automatico,aceptable
Lexus,SC,1997,55975,24262.46,10,plateado,hibrido,automatico,impecable
